CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
2,Hundred Days: Winemaking Simulator,2021,,,,,,,,,UX/UI Design,,,,,,,,,
3,ADLaM,2023,Accessibility,Educational outreach,Marginalized communities,Participation,,,Typeface Designers,Visual Culture Specialists,Ethnographic Research,,Spoken Languages,Oral knowledge,Pictures,,Typeface modeling software,Vectorized text assets,,Participatory initiative
3,ADLaM,2023,Preservation,Inclusivity,Local communities,Glocalization,Corporate-Sponsored,Free Access Model,Cultural Practitioner,Cultural Practitioners,Cultural Preservation Strategy,Oral traditions and expressions,,Adlam font lettering,Text,2D acquisition,Vector graphic software,Digital font of the Adlam script,Cloud system,Digital assets
3,ADLaM,2023,Revitalization,,,,,,Art Director,Cultural Practitioners Community,Graphic Design,,Language preservation,,,,,,,
3,ADLaM,2023,Lost/Endangered/Undocumented Recovery,Cultural identity reinforcement,Younger generations,,,,ICH Researchers,Typeface Designers,Participatory Production,,Languages,Digital script documentation,Digital font,,Text editing software,,,Digital campaign
3,ADLaM,2023,Representativeness in digital world,,ICH Specialists,,,,Textile Expert,Advertising agency,Typeface Design,,Indigenous languages,,,,,,,
3,ADLaM,2023,,,,,,,Creative Director,,Art Direction,,Adlam written texts,,,,,,,
3,ADLaM,2023,,,,,,,Executive Creative Director,,Copywriting,,,,,,,,,
3,ADLaM,2023,,,,,,,,,Creative Coordination,,,,,,,,,
3,ADLaM,2023,,,,,,,Principal Program Manager,,Concept Ideation & Dev.,,,,,,,,,
3,ADLaM,2023,,,,,,,Designer,,Cross-Platform Compatibility,,,,,,,,,
3,ADLaM,2023,,,,,,,,,Communication Strategy,,,,,,,,,
3,ADLaM,2023,Community empowerment,Global outreach,Schools,,,,,Multinational Technology Firm,Digital Content Curation,,Signs,,,,,,,
3,ADLaM,2023,,,,,,,Design Director,,Digital Product Management,,,,,,,,,
3,ADLaM,2023,,,,,,,Copywriter,,Rights & Permissions Management,,,,,,,,,
3,ADLaM,2023,,,,,,,Principal Product Manager,,Strategic Leadership,,,,,,,,,
3,ADLaM,2023,,,,,,,Head of Design,,Unicode Integration,,,,,,,,,
3,ADLaM,2023,,,,,,,Accountant,,,,,,,,,,,
3,ADLaM,2023,,,,,,,Director of Operations,,,,,,,,,,,
3,ADLaM,2023,,,,,,,Group Account Director,,,,,,,,,,,
3,ADLaM,2023,,,,,,,Executive Production Officer,,,,,,,,,,,
3,ADLaM,2023,,,,,,,Executive Producer,,,,,,,,,,,
3,ADLaM,2023,,,,,,,Strategy Director,,,,,,,,,,,
4,A soup to remember,2024,Promotion,Economic sustainability,Schools,,,,Executive Director,Policy makers,Animation,,Dance,,,,,,,
4,A soup to remember,2024,Preservation,Edutainment,Marginalized communities,Participation,Corporate-Sponsored,Free Access Model,Musicians,Pasta Producer,Art Direction,Oral traditions and expressions,Oral knowledge,Songs lyrics,Text,Audio recording,Alphabet-shaped pasta manufacturing,Illustrated books,Social Media,Digital campaign
4,A soup to remember,2024,Community empowerment,Cultural dissemination,Local communities,,,,Brand Manager,Cultural and Arts local association,Graphic Design,,Vocal music,Međimurje oral traditions,,Text editing software,Vector graphic software,,,
4,A soup to remember,2024,,,,,,,Creative Director,,Physical Computing,,Instrumental music,,,,,,,
4,A soup to remember,2024,,,,,,,Designer,,Brand Management,,,,,,,,,
4,A soup to remember,2024,,,ICH Specialists,,,,,,Cinematography,,Costumes,,,,,,,
4,A soup to remember,2024,,,,,,,Head of Creative Excellence,,Community Engagement,,,,,,,,,
4,A soup to remember,2024,,,,,,,Accountant,,Copywriting,,,,,,,,,
4,A soup to remember,2024,,,,,,,Creative Manager,,Concept Ideation & Dev.,,,,,,,,,
4,A soup to remember,2024,,,,,,,Copywriter,,Team Leadership,,,,,,,,,
4,A soup to remember,2024,,,,,,,,,Cultural Knowledge Transfer,,,,,,,,,
4,A soup to remember,2024,Visibility and reputation,Community empowerment,Younger generations,Materialization,,,ICH Practitioners,Advertising agency,Digital Illustration,Performing arts,Wedding customs,Music live performances,Audio,Video recording,Image editing software,Packaged with song lyrics alphabet-shaped pasta,,Participatory initiative
4,A soup to remember,2024,,,,,,,Head of Video Production,,Decision-making,,,,,,,,,
4,A soup to remember,2024,,,,,,,Head of Pre-Press,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Craft Partner,,Digital Media Handling,,,,,,,,,
4,A soup to remember,2024,,,,,,,Creative Partner,,Musical Composition,,,,,,,,,
4,A soup to remember,2024,,,,,,,Social Media Manager,,Product Design,,,,,,,,,
4,A soup to remember,2024,,,,,,,Video Animator,,Project Coordination,,,,,,,,,
4,A soup to remember,2024,,,,,,,Head of Social Media,,Sociology,,,,,,,,,
4,A soup to remember,2024,,,,,,,Art Director,,Strategic Leadership,,Religious practice,,,,,,,
4,A soup to remember,2024,,,,,,,,,Video Production,,,,,,,,,
4,A soup to remember,2024,,,,,,,Global Producer,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Public Relationship,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Illustrator,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Photographer,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Press and Production,,,,,,,,,,,
4,A soup to remember,2024,,,,,,,Director of Photography,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,,,Advocacy Management,,,,,,,,,
5,Pub Museums,2024,,,,,,,Digital Manager,,AI/AR/VR Integration,,Everyday life,,,,,,,
5,Pub Museums,2024,,,Local communities,,,,Communication Manager,,AR Content Creation,,Food customs,,,,,,,
5,Pub Museums,2024,,,Citizens,,,,,,Art Direction,,Hospitality customs,Floor plans,,,,,,
5,Pub Museums,2024,,,,,,,Copywriter,,Business Strategy,,Irish pub floor plans,,,,,,,
5,Pub Museums,2024,,,,,,,Creative Director,,Client Relationship Management,,Irish pub stories,,,,,,,
5,Pub Museums,2024,,,,,,,CCO,,Communication Strategy,,,,,,,,,
5,Pub Museums,2024,,,,,,,Client Service Director,,Content Strategy,,,,,,,,,
5,Pub Museums,2024,Recognition,Policy advocacy,Tourists,,,,Digital Director,,Copywriting,,Fermented beverages,Pub stories,Audio,Audio recording,,Geographic metadata,,
5,Pub Museums,2024,,,,,,,,,Concept Ideation & Dev.,,,,,,,,,
5,Pub Museums,2024,,,,,,,Brand Manager,,Global & Local Marketing,,,,,,,,,
5,Pub Museums,2024,,,,,,,,,Global Brand Leadership,,,,,,,,,
5,Pub Museums,2024,,,,,,,Marketing Manager,,IT Systems Development,,,,,,,,,
5,Pub Museums,2024,,,,,,,Group Account Director,,Machine Learning,,,,,,,,,
5,Pub Museums,2024,Economic sustainability,Cultural dissemination,Cultural practitioners,Digital twinning,Corporate-Sponsored,Free Access Model,Director Global Brand,Advertising agency,Creative Coordination,"Social practices, rituals and festive events",Social gathering,Historical objects,Object/artefact,GPS,3D modeling software,Digital 3D models of historical objects,Mobile App,Virtual museum
5,Pub Museums,2024,,,,,,,CEO,,Product Design,,,,,,,,,
5,Pub Museums,2024,,,,,,,Marketing Director,,Technical Support,,Friendship memories,,,,,,,
5,Pub Museums,2024,Preservation,Community engagement,Tradition bearers,Institutionalization,,,,Brewing company,Storytelling,,Brewing,Oral knowledge,Oral knowledge,3D scanning,Augmented Reality,Audio narrations,AR technologies,Museum
5,Pub Museums,2024,,,,,,,Accountant,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Head of PR & Communications,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Head of Creative Technology,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Head of Digital Production,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Digital Producer Supervisor,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Digital Designer,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Agency Producer,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Art Director,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Technical Lead,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Studio Lead,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Production Assistant,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Print Production,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Business Director,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Head of Creative Innovation,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,Public Relationship,,,,,,,,,,,
5,Pub Museums,2024,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,Local communities,,,,Copywriter,,Game Programming,,Oral history,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,Project Manager,,Rights & Permissions Management,,Storytelling,,,,,,,
6,THE GREAT PALERMO,2015,,Community engagement,Tourists,,,,Visual Designer,,Copywriting,,Past History,Historical narratives,Object/artefact,,,,,
6,THE GREAT PALERMO,2015,,,,,,,App Developer,,Creative Coordination,,Folklore,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,Cultural Mediation,,,,,,,,,
6,THE GREAT PALERMO,2015,Celebration,Cultural representation,General public,Storytelling,,,Game developer,Cultural Association,Digital Illustration,,Food preparation,Urban folklore,Audio,,Visual-novel game engine,Digital storytelling,Visual-novel gaming system,ICH-inspired artefact
6,THE GREAT PALERMO,2015,,,,,,,Voiceover Artist,,Kinematic Analysis & Evaluation,,Urban spaces,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,Sound Designer,,Project Coordination,,Monument history,,,,,,,
6,THE GREAT PALERMO,2015,Preservation,Edutainment,Gamers,Gamification,Hybrid Funding Model,Free Access Model,Producer,Game development studio,Storytelling,"Social practices, rituals and festive events",Food customs,Oral narratives,Text,,Vector graphic software,Illustrated content,Web platform,Videogame
6,THE GREAT PALERMO,2015,,,,,,,,,,,Sicilian oral traditions,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
6,THE GREAT PALERMO,2015,,,,,,,,,,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Fashion Designer,,Advertising Management,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Client Manager,,Campaign Coordination,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Advertising Manager,,Client Relationship Management,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Sales Manager,,Communication Strategy,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Motion Designer,,,,,,,,,,,
7,Cultural Avatars,2023,Empowerment,Cultural preservation,Local communities,Digital twinning,,,Coordinator of Joint Campaigns,Advertising agency,Copywriting,,Technical skills,Music live performances,Pictures,Annotation system,Game engine,,Gaming system,ICH-inspired artefact
7,Cultural Avatars,2023,,,,,,,Art Director,,3D Modeling,,Craft workers,,,,,,,Digital campaign
7,Cultural Avatars,2023,Cultural identity representation,Youth empowerment,Younger generations,Participation,Corporate-Sponsored,Free Access Model,Communication Officer,Telecommunications and digital service provider,Creative Coordination,Traditional craftsmanship,Apprenticeship,Traditional costumes,Object/artefact,2D acquisition,3D modeling software,3D gaming skins,Cloud system,Participatory initiative
7,Cultural Avatars,2023,,,,,,,,,Creative Direction,,Traditional and contemporary African costumes,,,,,,,
7,Cultural Avatars,2023,,,,,,,,,Cross-Cultural Storytelling,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,,,Team Leadership,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,,,,,Weaving,,,,,,,
7,Cultural Avatars,2023,,,,,,,Assistant Art Director,,Gaming Skins Design,,Cultural identity,,,,,,,
7,Cultural Avatars,2023,,,,,,,,,Decision-making,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,,,Fashion Design,,Jewelry,,,,,,,
7,Cultural Avatars,2023,,,,,,,3D Graphic Designer,,Motion Graphics,,,,,,,,,
7,Cultural Avatars,2023,,Open-source contribution,Gamers,,,,Copywriter,Game development studio,Coding,,Pattern,Technical documentation,,,,,,Dedicated physical events
7,Cultural Avatars,2023,,,,,,,3D Character Artist,,Olfactory Heritage Documentation,,,,,,,,,
7,Cultural Avatars,2023,,,,,,,Consulting Director,,Stage Spatial Design,,,,,,,,,
7,Cultural Avatars,2023,,Community engagement,Marginalized communities,Glocalization,,,Creative Director,Fashion designers,Branding,,Costumes,Fashion Designer knowledge,Templates and Measures,,,,,Digital assets
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,Remix and reinterpretation,Cultural promotion,Cultural institutions,Remix,,B2C,Industrial Designer,Manufacturing company,Ceramic Making,,Technical skills,Cultural symbols,Metadata,,3D printing,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,,,,,,,3D Printing Specialist,,Co-Design Facilitation,,Ceramic arts,,,,,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,,,,,,,,,Community Engagement,,Clay artefacts,,,,,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,Valorization,,General public,,,,Interior Designer,Industrial Designer,3D Printing,,Handicrafts,Historical documentation,,,,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,,,,,,,Architect,Architecture & Interior Design Studio,Digital Fabrication,,Apprenticeship,Archive entry,,,,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,,,,,,,3D Modeling Specialist,,Exhibition Design,,Geometrical shapes,,,,,,,
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,Visibility and reputation,Contemporary design integration,Manufacturers,Archetyping,Self-Funded,B2B,Ceramicist,Archaeological site,Production Planning,Traditional craftsmanship,Craft workers,Archaeological artifacts,Object/artefact,2D acquisition,3D modeling software,3D printed prototypes and ceramic molds,Ceramic casting,ICH-inspired artefact
9,No Food Tomorrow - Eucarestia,2023,,Community empowerment,Tradition bearers,Crowdsourcing,,,Scientific curators,Research Center,Photography,,Mediterranean diet food staples,,,,,,,Dedicated physical events
9,No Food Tomorrow - Eucarestia,2023,,Celebration,Researchers and Scholars,Translation,,Crowdfunding,Conceptual Artist,Digital Art Studio,Concept Ideation & Dev.,,Harvesting techniques,,,2D acquisition,Annotation software,,,ICH-inspired artefact
9,No Food Tomorrow - Eucarestia,2023,Preservation,Economic sustainability,Educational institutions,Artification,,Direct to Consumers (DtC),Creative Director,Artistic collective,Creative Direction,Knowledge and practices concerning nature and the universe,Plant resources,Photomicrograph of olive oil,Object/artefact,Optical microscopy,Photo-editing software,High-resolution macro images of diet samples,NFT technologies,Digital assets
9,No Food Tomorrow - Eucarestia,2023,,,Enthusiasts,Magnification,,,Visual Designer,,Exhibition Design,,,Photomicrograph of sea water,,,,,,
9,No Food Tomorrow - Eucarestia,2023,,,Policy makers,,,,Photographer,University research center,Community Impact Evaluation,,Social capital,Photomicrograph of wine,,,,,,
9,No Food Tomorrow - Eucarestia,2023,,,,,,,Set Designer,,On-site Experience Coordination,,,Photomicrograph of cereals,,,,,,
9,No Food Tomorrow - Eucarestia,2023,,,ICH Curious,,,,Music Composer,,Branding,,,,,,,,,
9,No Food Tomorrow - Eucarestia,2023,,,,,,,Digital Designer,,,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,XR Developer,,AI/AR/VR Integration,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Sound Technician,,Audio/Sound Recording,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,Students,,,,Costume Designer,University Joint Venture,Traditional Costume Knowledge,,Handicrafts,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Digital Costume Designer,,,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Software Developer,,Cross-Platform Compatibility,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,3D Animator,,,,,,,,,,,
10,Virtual Dance Museum,2016-2025,Open resource creation,Interactive learning,,Digital twinning,,,Cultural Heritage Specialist,Academy of Customs and traditional dances,Heritage Expertise,"Social practices, rituals and festive events",Costumes,Traditional costumes,Video,Video recording,3D motion analysis software,Digitized video and audio recordings,,Virtual museum
10,Virtual Dance Museum,2016-2025,,,,,,,,,3D Modeling,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Dance Documentation Specialist,,Dance Documentation,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Video Director,,Dance Performance Recording,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Digital Archivist,,Data Archiving & Retrieval,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Data Processing Specialist,,Data Post-Processing,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Database Manager,,Database Information Management,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,Gamers,,,,Motion Capture Operator,Research Foundation,Motion Graphics,,Instrumental music,,,,,,,
10,Virtual Dance Museum,2016-2025,Preservation,Cultural dissemination,Tradition bearers,,,,Ethnochoreologist,Traditional Arts Events Organization,Folk Dance Knowledge,,Choreography,Traditional music,Audio,HD cameras,,,,Digital assets
10,Virtual Dance Museum,2016-2025,,,ICH Specialists,,,,Historian,Dance Academy,Historical & Literary Research,,Apprenticeship,,,3D scanning,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,3D Web Integration,,Interaction Design,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Metadata Specialist,,Microencapsulation,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Kinesiologist,,Motion Capture Data Acquisition,,,,,,,,,
10,Virtual Dance Museum,2016-2025,Accessibility,Edutainment,Researchers and Scholars,Simulation,Publicly Funded,Free Access Model,Project Manager,Educational Institution,Project Coordination,Performing arts,Dance,Dance performance,Motion data,Motion tracking,Sensor Fusion,Motion data archives,Web platform,Digital archive
10,Virtual Dance Museum,2016-2025,,,,,,,Researcher,University research center,Resource Planning,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,UX/UI Designer,,UX/UI Design,,,,,,,,,
10,Virtual Dance Museum,2016-2025,,,,,,,Web developer,,Web Development,,,,,,,,,
10,Virtual Dance Museum,2016-2026,,,,,,,Post-production Editor,,,,,,,,,,,
11,GPT-4 for Icelandic Language,2023,,,,,,,,Public Foundation,Deep Neural Networks,,Cultural identity,,,,,,,
11,GPT-4 for Icelandic Language,2023,Community empowerment,Linguistic preservation,Policy makers,,,,Language Support Tools Developer,Language Technology company,AI System Dev.,,Oral history,,,,,,Generative AI,
11,GPT-4 for Icelandic Language,2023,Knowledge transfer,,,,,,Linguistic Specialist,Language Technology Center,Computational Statistics,,Linguistics,,,,,,,
11,GPT-4 for Icelandic Language,2023,Preservation,Cultural representation,Local communities,Glocalization,Public-Private Partnership,Free Access Model,,AI Research Organization,Entrepreneurship,Oral traditions and expressions,,Icelandic grammar rules,Text,OCR,Natural Language Processing (NLP),"Trained LLM (with basic knoledge of Icelandic language, albeit with errors)",LLM,Conversational agent
11,GPT-4 for Icelandic Language,2023,Representativeness in digital world,,,,,,,Language Community,Machine Translation,,Languages,,,,,,,
11,GPT-4 for Icelandic Language,2023,Revitalization,Community engagement,Private companies,Participation,,,Digital Product Developer,Governmental Agency,Resource Planning,,Spoken Languages,Books,,Text editing software,Machine Learning,,Reinforcement Learning,Participatory initiative
11,GPT-4 for Icelandic Language,2023,,,,,,,,,Language Technology,,Icelandic grammar resources,,,,,,,
11,GPT-4 for Icelandic Language,2023,,,,,,,,,Marketing Strategy,,,,,,,,,
11,GPT-4 for Icelandic Language,2023,,,,,,,,,Data Analysis,,,,,,,,,
11,GPT-4 for Icelandic Language,2023,,,,,,,,,Speech Synthesis,,,,,,,,,
11,GPT-4 for Icelandic Language,2023,,,,,,,,,Sponsorship,,,,,,,,,
12,Ichpedia,2010,,,,,,,Archaeologist,,Archaeology,Traditional craftsmanship,,,,,,,,
12,Ichpedia,2010,Documentation,International collaboration,,,,,Researcher,Governmental Agency,Computer Engineering,Knowledge and practices concerning nature and the universe,Past History,Local communities,Text,Annotation system,,System for inventorying ICH,Wiki-based platform,Participatory initiative
12,Ichpedia,2010,Preservation,Community engagement,,Participation,Publicly Funded,Free Access Model,,Research Center,Cultural Anthropology,"Social practices, rituals and festive events",Cultural identity,ICH Documentation,Object/artefact,2D acquisition,Database system,Digitized archive of Korean ICH,Web platform,Digital archive
12,Ichpedia,2010,Visibility and reputation,Educational outreach,ICH Specialists,,,,Cultural Anthropologist,,Folklore Studies,,Memories,Oral histories,Pictures,,,,,
12,Ichpedia,2010,Accessibility,,General public,,,,Software Developer,,Language/Style Checking,,Collective memory,Photos,Metadata,,,,,
12,Ichpedia,2010,,,,,,,Literary Editor,,Digital Content Curation,,Korean ICH documentation,,,,,,,
12,Ichpedia,2010,Community empowerment,,,,,,Folklorist,,Historical & Literary Research,,,,,,,,,
12,Ichpedia,2010,,,,,,,Korean Literature Expert,,Immersive Sound Design,,,,,,,,,
12,Ichpedia,2010,,,,,,,Sociologist,,Knowledge Graphs,,,,,,,,,
12,Ichpedia,2010,,,,,,,Information Scientist,,Software Development,,,,,,,,,
12,Ichpedia,2010,,,,,,,Historian,,Wood Science,,,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,Promotion,Community engagement,Tradition bearers,Glocalization,,,Executive Producer,Community,Audio/Sound Post-production,,Throat singing,Oral knowledge,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,Celebration,Educational outreach,Local authorities,Storytelling,,,Cultural Network Coordinator,Cultural Association,Creative Direction,Performing arts,Polyphonic singing,Music live performances,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,Preservation,Linguistic preservation,Local communities,Participation,Publicly Funded,Free Access Model,Technical-Scientific Coordinator,Regional Cultural Organization,Community Engagement,Oral traditions and expressions,Vocal music,Songs lyrics,Audio,Audio recording,Audio processing,Digitized audio recordings of interviews and songs,Audio streaming platforms,Podcast
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,Cultural Practitioners Community,Social Agents Simulation,,Spoken Languages,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,Sound Technician,,,,Dialects,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,Copywriter,,,,Instrumental music,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,Mixing and Mastering Specialist,,,,Poetry,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,Sound Designer,,,,Dance,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Wedding customs,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Work songs,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Pastoralism,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Everyday life,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Sheep husbandry,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Cultural perception of the island,,,,,,,
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,,,,,,,,,,,Sardinian canto a tenore songs,,,,,,,
14,Camino Al Mictlan NFT,2021,Celebration,Community engagement,Virtual Tourists and avatars,Participation,,Community Contributions,Visual Artist,Video Jockey (VJ),AI/AR/VR Integration,,Religious practice,Mexican oral traditions,Pictures,,,Digital environments,VR,Digital assets
14,Camino Al Mictlan NFT,2021,Preservation,Cultural representation,Indigenous communities,Digital twinning,Hybrid Funding Model,NFT Sales,Video and Sound Artist,Artistic collective,Digital Illustration,"Social practices, rituals and festive events",Festivals,Cultural symbols,Object/artefact,,3D modeling software,3D models of virtual altars,Web3 systems,Participatory initiative
