viz_title,title,links_slug,description,credits,date,external_link_1,external_link_2,external_link_3,ichDomains,fruitionOutputs
TextLoom,Fabric Museum: TextLoom,https://ichatlas.com/projects-archive/Fabric_Museum:_TextLoom,"""""The project, TextLoom, is an interactive installation exhibited at the Fabric Museum, exploring the intersection of traditional weaving techniques and computer programming. Inspired by the Jacquard Loom, the installation enables users to generate text through weaving actions, integrating sound-reactive generative typography. This case study examines the technological, artistic, and conceptual aspects of TextLoom, emphasizing its role in bridging historical textile craftsmanship with contemporary digital media. At the core of TextLoom is a generative typography system developed using Processing. The system employs a sound-reactive typewriter and pattern-making tool that transforms letters based on diverse sound frequencies, ensuring that no two visual outputs are identical. To reinforce the connection to traditional weaving, a custom typeface was designed, mirroring the structured patterns found in textiles. The installation incorporates a tabletop tray designed to resemble a traditional weaving shuttle, an essential tool for carrying threads across a loom. The interaction mechanism, programmed using Arduino, requires users to simulate the movement of a shuttle to transmit messages, embodying the physical act of weaving as a mode of digital text generation.""""","A project by Jocelyn (Ziying) Zhao,ArtCenter College of Design (US): Brad Bartlett, Ivan Cruz, Miles Mazzie (instructors)Fabric Museum (exhibitor)",2023,https://segd.org/projects/fabric-museum-textloom/,,,"[""Traditional craftsmanship""]","[""Interactive exhibition""]"
GPT-4 for Icelandic Language,GPT-4 for Icelandic Language,https://ichatlas.com/projects-archive/GPT-4_for_Icelandic_Language,"""""The GPT-4 for Icelandic Language Project aims to preserve Icelandic by improving its AI integration and addressing challenges like translation inaccuracies and cultural misinterpretations. The project employs Reinforcement Learning from Human Feedback (RLHF), where Icelandic speakers provide prompts and evaluate the four potential responses generated by GPT-4. Testers select the best response, refine it, and use this feedback to further train the model, iteratively enhancing GPT-4’s Icelandic language capabilities. This process aims to reduce grammatical errors and improves cultural accuracy, ensuring Icelandic’s continued relevance in digital environments.""""","A project by OpenAI,Government of Iceland, Ministry of Culture and Business Affairs,Miðeind,Almannarómur,40 volunteers with Icelandic grammar and cultural knowledge,",2023,https://openai.com/index/government-of-iceland/,https://xn--mieind-qwa.is/is/greinar/islenska-adferdin-hvernig-studla-ma-ad-fjolbreytni-tungumala-og-menningar-a-svidi,,"[""Oral traditions and expressions""]","[""Conversational agent"",""AI-generated content"",""Participatory initiative""]"
History Blocks,History Blocks,https://ichatlas.com/projects-archive/History_Blocks,"""""History Blocks is an educational initiative and communication campaign designed to engage students in the digital reconstruction of historic monuments lost to conflict in the Middle East. Supported by UNESCO and implemented through the educational platform Minecraft Education Edition, the project fosters historical awareness and cultural preservation by integrating digital tools into learning environments. The project provides an open framework and a structured pedagogical plan where students collaboratively rebuild destroyed landmarks within Minecraft under the guidance of teachers, who facilitate the reconstruction process and foster a deeper understanding of the cultural and historical significance of these sites. Escola Bosque (Brazil) was chosen to receive the project’s prototype and test how the students would react to the initiative. In just two weeks, the pupils succeeded to complete the digital recreations of two monuments. The project is available in over 30 schools.""""","A project by DDB Africa (Brazil),UNESCO,Microsoft ""Minecraft Education Edition"" (hosten within),Escola Bosque (Brazil) (pilot project),Hungry Man (Brazil),Punch Audio (Brazil),Asteroide Filmes (Brazil)",2019,https://web.archive.org/web/20201130154400/http://historyblocks.com/,,,"[""Knowledge and practices concerning nature and the universe""]","[""Digital tools"",""Digital campaign"",""Digital assets"",""Participatory initiative""]"
HKMALA,HKMALA - Hong Kong Martial Arts Living Archive,https://ichatlas.com/projects-archive/HKMALA_-_Hong_Kong_Martial_Arts_Living_Archive,"""""The Hong Kong Martial Arts Living Archive (HKMALA) is a longitudinal project focused on preserving and digitally valorizing the kung fu tradition. It aims to document and archive this intangible cultural heritage using advanced technologies, addressing the challenges of preserving living traditions in a digital age. The project employs data capture tools, including motion capture systems and digital annotations, to record and analyze live kung fu performances. This data is then stored in a comprehensive digital archive, which serves as the basis for exhibitions, scholarly research, and public education initiatives. Key elements of the project include international exhibitions, interactive installations, and the publication of books, offering multiple ways to experience and analyse the kung fu tradition.""""","A project by International Guoshu Association,City University of Hong Kong,Laboratory for Experimental Museology (eM+), Digital Humanities Institute, EPFL",2012,https://www.epfl.ch/labs/emplus/projects/hkmala/,,,"[""Performing arts""]","[""Interactive exhibition"",""Digital archive"",""Dedicated physical events""]"
Hundred Days,Hundred Days: Winemaking Simulator,https://ichatlas.com/projects-archive/Hundred_Days:_Winemaking_Simulator,"""""Hundred Days is an interactive simulation game focused on the winemaking process, specifically highlighting the viticultural practices of the Piedmont region. The game aims to preserve and share the intangible cultural heritage of winemaking, offering players insights into the complex relationship between local traditions and modern production techniques. Players manage a winery, making decisions on grape cultivation, vineyard management, harvest timing, and production, while considering factors like climate, soil, and market demands. Through advanced simulation technology, Hundred Days models these real-world aspects, allowing players to engage with and understand the complex process of wine production. The game’s strategic elements reflect the deep connection between local heritage and winemaking, providing a digital platform for players to explore the cultural significance of wine in the Piedmont region.""""","A project by Yves Hohler (Co-founder of Broken Arms Games),Broken Arms Games,Tumult Kollektiv,Digital Artists Freelancers,Piedmont winemakers",2021,http://www.hundreddaysgame.com/,https://www.brokenarmsgames.com/presskit/sheet.php?p=Hundred_Days_-_Winemaking_Simulator,,"[""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""]","[""Videogame""]"
Ichpedia,Ichpedia,https://ichatlas.com/projects-archive/Ichpedia,"""The Ichpedia Project is an online encyclopedia dedicated to preserving intangible cultural heritage (ICH) in Korea. Developed with support from the Cultural Heritage Administration of Korea, the platform aims to bridge the gap between traditional cultural knowledge and modern digital access. It addresses concerns about the limitations of the UNESCO framework for safeguarding intangible cultural heritage (ICH), particularly in relation to Korean cultural heritage policies. It employs a wiki-based, Web 2.0 model to collect data via online surveys, promoting bottom-up participation and active community involvement. Ichpedia’s open-source structure, built on the LAMP technology stack, allows global access to ICH data, fostering international collaboration without incurring additional costs.""","A project by CICS,Republic of Korea, Cultural Heritage Administration (support)",2010,https://ichpedia.org/,,,"[""Social practices, rituals and festive events"",""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""}","[""Participatory initiative"",""Digital archive""]"
Kaarigari,Kaarigari,https://ichatlas.com/projects-archive/Kaarigari,"""The Kaarigari project aims to celebrate India’s traditional hand block printing craft and artisans, whose craft faces obsolescence due to the rise of digital printing technologies. By recording the unique movements of artisans in their workshops, the project translates their gestures into distinctive patterns that reflect individual craftsmanship. Using long exposure photography, motion studies, and virtual reality, the project captures the artisans' movements and converts them into digital data. This data is then re-elaborated and woven into new textiles using digital weaving machines. By focusing on the artisans' unique movements, the project brings attention to the artistry and individuality embedded in hand block printing, fostering pride and recognition for their work.""","A project by Rashmi Bidasaria,Vikas Ram,Ramesh Singh, Mohanlal Kumar, Heeralal Kumar,textielmuseum | textiellab netherlands (support and funding)",2020,https://www.designboom.com/design/rashmi-bidasaria-maps-artisans-movements-into-individual-signatures-09-01-2020/,,,"[""Traditional craftsmanship""]","[""ICH-inspired artefact""]"
La Baguette stamp,La Baguette stamp,https://ichatlas.com/projects-archive/La_Baguette_stamp,"""Le Baguette stamp is a project by the national postal service of France featuring a scratch-and-sniff postage stamp infused with the scent of freshly baked baguette.  Postage stamps serve not only functional purposes, but are miniature canvases reflecting a nation’s cultural and historical identity, in this case celebrating an emblematic symbol of French culinary heritage. This release coincides with UNESCO’s 2022 recognition of the traditional French baguette-making process as part of the intangible cultural heritage of humanity. The olfactory component of the stamp was achieved through microencapsulation technology, a process wherein microscopic fragrance capsules are embedded into the ink. The integration of a scent element with traditional philately introduces a new interactive dimension and multi-sensory experience to stamp collecting, appealing to both enthusiasts and the general public.""","A project by Le Poste,Philaposte,Stéphane Humbert-Basset,[Unknown]",2024,https://www.laposte.fr/pp/timbre-baguette-de-pain-francaise-lettre-internationale/p/1124031,,,"[""Traditional craftsmanship"",""Social practices, rituals and festive events""]","[""ICH-inspired artefact""]"
Lisbon Under Stars,Lisbon Under Stars,https://ichatlas.com/projects-archive/Lisbon_Under_Stars,"""Lisbon Under the Stars is an immersive and multidisciplinary show that takes audiences on a virtual journey through 600 years of Portuguese history, presented through multimedia projections, virtual dancers, and soundscapes by renowned Portuguese musicians. This immersive audiovisual experience incorporates archival materials from local museums to tell the story of Lisbon and Portugal through time and aims to showcase and celebrate the rich cultural heritage of the country through centuries. The church in which the show takes place, represented metaphorically by a female character, acts as the narrator, symbolizing the passage of time and the historical depth of Portugal. The production team used advanced video mapping technology (a total of 13 projectors), typically applied in the film industry, to create a dynamic and immersive environment. The show has become one of the largest video mapping productions in Portugal.""","A project by OCUBO,Carmo Museum,Ruinas do Carmo,Dance schools and choreographers",2018,https://www.ocubo.com/lus,,,"[""Oral traditions and expressions"",""Social practices, rituals and festive events""]","[""Live performance"",""Dedicated physical events""]"
MEMEX,MEMEX. MEMories and EXperiences for inclusive digital storytelling,https://ichatlas.com/projects-archive/MEMEX._MEMories_and_EXperiences_for_inclusive_digital_storytelling,"""MEMEX is a EU-funded project that aims to promote social cohesion through collaborative, heritage-related storytelling tools, providing access to both tangible and intangible Cultural Heritage (CH) for communities at risk of exclusion. Through a multi-sector partnership, the project co-designs interfaces to meet the specific needs of these communities, fostering social inclusion. MEMEX enhances engagement with CH using innovative ICT tools, including Augmented Reality (AR) experiences that link memories—expressed through videos, images, and text—with physical locations and objects. The project connects these images to a Knowledge Graph (KG), which facilitates assisted storytelling via Natural Language Processing (NLP) and clustering, linking user data to tangible and intangible Cultural Heritage assets. These stories are then visualized on smartphones through AR, creating an interactive narrative that connects users to their heritage.""","A project by Istituto Italiano di Tecnologia, IIT (Italy),Interactive Technologies Institute - LARSyS, ITI (Portugal),Noho (Ireland),EY Advisory Italy (Italy),Centre National de la Recherche Scientifique, CNRS (France),Association of Instituto Superior Técnico for Research and Development, IST-ID (Portugal),Michael Culture Association, MCA (Belgium),European Centre for Cultural Organisation and Management, ECCOM (Italy),Fundacio Interarts per a la Cooperacio Cultural Internacional, IA (Spain),Mapa das Ideias, MDI (Portugal),University Ca'Foscari di Venezia, UNIVE (Italy),Dédale, DED (France)",2019-2021,https://memexproject.eu/en/,,,"[""Oral traditions and expressions"",""Social practices, rituals and festive events""]","[""Digital tools"",""Participatory initiative""]"
MODAS,MODAS: Sas Boghes da sos Singers a Tenor,https://ichatlas.com/projects-archive/MODAS:_Sas_Boghes_da_sos_Singers_a_Tenor,"""Modas: Sas Boghes de sos Cantadores a Tenore is a podcast entirely in the Sardinian language, exploring the themes central to traditional oral music, with a special focus on canto a tenore, a unique form of polyphonic singing native to Sardinia. The podcast explores the rich history and contemporary relevance of canto a tenore, reflecting on its role within modern Sardinian society. Through interviews with local singers (cantadores), the podcast offers insights into both the musical practices and linguistic variations linked to this traditional art form. Each episode, available in Sardinian, highlights different aspects of canto a tenore and the local dialects, promoting not only musical heritage but also the preservation of the Sardinian language. The series is available on major podcast platforms, including Spotify, Apple Podcasts, Amazon Music, Spreaker, and YouTube.""","A project by Istituto Superiore Regionale Etnografico (ISRE),Tenores Sardinia Association,Boches a Tenore Association,CAMPOS Association",2023,https://a-tenore.org/podcast.html,,,"[""Performing arts"",""Oral traditions and expressions""]","[""Podcast""]"
Multi,Multi - Multimedia Museum,https://ichatlas.com/projects-archive/Multi_-_Multimedia_Museum,"""Multi – Multimedia Museum of the Italian Language is a virtual museum designed to celebrate and preserve the intangible heritage of the Italian language. It offers an interactive and inclusive experience, aimed at both Italian speakers and non-speakers. Replacing traditional museum features like as physical archives, workshops, and exhibitions, the museum provides a digital collection, including curatorial narrative paths, interactive content, and educational resources such as games. Visitors can also explore news, stories, videos, and podcasts, and share content on social media. Available in both Italian and English, it makes previously inaccessible linguistic resources, such as archives and dictionaries, freely available to a global audience. By showcasing digital assets and promoting online resources, Multi ultimately aims to edutain, enhance public access to Italy's linguistic history and foster a deeper understanding of its cultural significance.""","A project by University of Pavia,University of Naples ""L'Orientale"",University of Tuscia,Dotdotdot",2023,https://multi.unipv.it/it/,https://www.dotdotdot.it/works/multi-multimedia-museum,,"[""Oral traditions and expressions""]","[""Virtual museum""; ""Digital archive""]"
No Food Tomorrow,No Food Tomorrow - Eucarestia,https://ichatlas.com/projects-archive/No_Food_Tomorrow_-_Eucarestia,"""The ""No Food Tomorrow"" project uses digital art to raise awareness of crucial issues such as food sustainability, biodiversity, and global food security. Through a series of installations and NFT (Non-Fungible Token) collections, the initiative aims to fostercritical dialogue on global food systems. A key initiative of No Food Tomorrow is the EuCarestia exhibition, which highlights biodiversity loss and the food crisis through art. Featuring microscopic images of Mediterranean Diet staples such as wheat, wine, water, and oil, the artworks are transformed into NFTs to create a contemplative experience. This exhibition has traveled across Italian cities, including Bologna and Rome, and has been displayed in symbolic locations like Pollica, the birthplace of the Mediterranean Diet. Additionally, collecting the digital art pieces becomes a form of tangible action, as proceeds from NFT provide financial support to university research and fund scholarships on related topics.""","A project by [(etica)estetica]anestetica},TRAMA Creative Studio,Future Food Institute,Laboratorio di Biologia dell’Università di Padova,",2023,https://nofoodtomorrow.org/,,,"[""Knowledge and practices concerning nature and the universe""]","[""Dedicated physical events"",""ICH-inspired artefact"",""Digital assets""]"
Odeuropa Smell Explorer,Odeuropa Smell Explorer,https://ichatlas.com/projects-archive/Odeuropa_Smell_Explorer,"""The main goal of the Odeuropa project is to raise awareness about the role of olfactory heritage in Europe’s cultural heritage, addressing its underappreciation. The project leverages the digitization of 23,000 images (Historical images, Images from books), 62,000 historic texts (Historic books, Novels, Theatre scripts, Travel writing, Botanical textbooks, Court records, Sanitary reports, Sermons, Medical handbooks) in six languages (English, Italian, French, Dutch, German, Slovene). Through AI-driven research, the project created a ‘European Olfactory Knowledge Graph’ that curates and stores scent-related data, which is then used to generate storylines, online encyclopedias, interactive tools, and museology toolkits.  These outputs aim to promote the recognition and preservation of olfactory heritage and to engage new audiences with the sensory history of Europe. The project uses machine learning and computer vision to identify smell-related objects, places, and gestures in images, alongside annotated historic texts from various genres. This enables the identification of scent references across European cultural heritage, linking smells to emotions, places, and practices throughout history. One project output is the Odeuropa Smell Explorer, an innovative web tool enabling users to discover how smells have shaped European history and culture, drawing on a vast dataset extracted from 23,000 images and 62,000 historic texts in six languages.""","A project by KNAW Humanities Cluster (the Netherlands),Friedrich-Alexander-Universität Erlangen (Germany),Fondazione Bruno Kessler (Italy),EURECOM – Sophia Antipolis (France),University of York (UK),Jožef Stefan Institute (Slovenia),University College London (UK)",2020-2023,https://odeuropa.eu/,https://explorer.odeuropa.eu/about,https://explorer.odeuropa.eu/,"[""Social practices, rituals and festive events"",""Knowledge and practices concerning nature and the universe""]","[""Digital archive"",""Digital tools""]"
Omni Chang,Omni Chang’An Site Concept Show,https://ichatlas.com/projects-archive/Omni_Chang’An_Site_Concept_Show,"""Omni Chang'An is China’s first large-scale, site-specific conceptual theater, seamlessly blending Shaanxi’s intangible cultural heritage with advanced stage technology. The performance uses visual and kinetic technology to enhance storytelling, immerse and engage audiences in the narrative, and fuse historical traditions with modern performances. The performance consists of eight distinct segments, each presenting a different aspect of Shaanxi culture. The theatrical representations incorporate traditional artistic elements such as shadow puppetry, puppets, and the Qinqiang opera, merging them with over 20 state-of-the-art technologies, including holographic LED screens, matrix screens, wall projections, elevating stages, mechanical arms, and full-dome projections. ""Boundless Chang'an"" premiered as the opening performance of the 9th Silk Road International Art Festival in 2023. Starting in February 2024, ""Boundless Chang'an"" will be performed permanently at the Chang'an Opera House, with dedicated shows also held at the Xi'an Chang'an Le Belt and Road Cultural and Art Center, as well as the Xi'an Chang'an Le Opera House.        ""","A project by Funshine Culture Group Co., Ltd. (China)",2022-2023,https://competition.adesignaward.com/gooddesign.php?ID=159118,,,"[""Social practices, rituals and festive events""]","[""Live performance"",""Dedicated physical events""]"
Paderpedia,Paderpedia,https://ichatlas.com/projects-archive/Paderpedia,"""Paderpedia is an interactive online encyclopedia focused on Germany’s shortest river, the Pader, designed to digitally preserve and explore its cultural, historical, and ecological heritage. The platform combines scientific research with citizen participation, allowing local enthusiasts to contribute essays, historical maps, images, and multimedia content. Paderpedia’s citizen science approach enables the collaborative study of the river's past, making heritage research more transparent and accessible. It includes resources like a 586-entry literature database, interactive learning units for students, and a 3D reconstruction of the Pader spring area. This initiative has raised awareness of the river’s history and ecology, especially among younger generations.""","A project by City of Paderborn, Environmental Protection & Green Spaces Office, Surveying and Geoinformation Office (Germany),University of Paderborn, Arts and Humanities Historical Institute, Department of Contemporary History (Germany),City and District Archives Paderborn (Germany),State Archives of North Rhine-Westphalia, Detmold and Münster Units (Germany)Private archive Gregor G. Santel (Germany)Erzbischöfliche Akademische Bibliothek Paderborn (Germany)",2020,https://paderpedia.de/en/home/,,,"[""Social practices, rituals and festive events""]","[""Digital archive""]"
Piccolo Museo del Diario,Piccolo Museo del Diario,https://ichatlas.com/projects-archive/Piccolo_Museo_del_Diario,"""The ""Piccolo Museo del Diario"" showcases over 6,500 personal stories of ordinary individuals, collected and digitized by the ""Fondazione Archivio Diaristico Nazionale"", Pieve Santo Stefano, Italy Through an interactive, multisensory approach, the museum enhances engagement with archival materials and intangible cultural heritage. Focused on autobiographical works such as diaries and letters, the project transforms these materials into dynamic audiovisual displays through video projections, audio narrations, and sensor systems. This digital approach not only preserves personal histories while safeguarding the original items but also facilitates long-term preservation and broader accessibility to cultural heritage. The museum creates an immersive platform for collective memory, allowing visitors to interact meaningfully with the intangible legacy of everyday life.""","A project by Fondazione Archivio Diaristico Nazionale,Dotdotdot",2013,https://www.piccolomuseodeldiario.it/,,,"[""Oral traditions and expressions""]","[""Museum"",""Interactive exhibition""]"
Planet Word,Planet Word: The First Voice-Activated Museum,https://ichatlas.com/projects-archive/Planet_Word:_The_First_Voice-Activated_Museum,"""Planet Word is an immersive museum dedicated to celebrating language and its power to connect humanity. The museum is the world's first voice-activated space, offering visitors interactive exhibits that explore various facets of language. The museum uses technologies to bring language to life. Exhibits allow visitors to interact with language through voice recognition and multimedia installations. Notable features include a biomimetic sculpture that whispers in hundreds of languages, a ""smart paintbrush"" that lets visitors ""paint with words,"" and a projection-mapped sculpture that visualizes the evolution of the English language. The museum also offers a voice-recognition experience connecting visitors with native speakers and signers from around the world, showcasing the diversity of global languages.""","A project by Planet Word Museum of Language Arts,Local Projects, New York City,Solomon Group,BBB (Beyer Binder Bell) Architects,Hypersonic,SH Acoustics,Jeremy S. Bloom Sound Design,Zumm Studios,My Active Driveway",2020,https://planetwordmuseum.org/,,,"[""Oral traditions and expressions""]","[""Museum"",""Interactive exhibition""]"
