CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
15,Whispering table,2009,"[""Edutainment"",""Celebration"",""Fostering intercultural dialogue""]","[""Cultural representation"",""Interactive engagement""]","[""General public"",""Museums""]","[""Materialization"",""Animation"",""Storytelling""]","[""Publicly Funded""]","[""Free Access Model""]","[""Project Manager"",""Creative Director""]","[""Design studio"",""Museum""]","[""Creative ideation and concept development"",""Narrative and cultural content curation"",""Sound installation"",""UX / UI Design""]","[""Social practices, rituals and festive events""]","[""Religion"",""Food"",""Food customs""]","[""Oral narratives"",""Cultural culinary traditions""]","[""Audio""]","[""Audio recording"",""Microphones""]","[""Audio processing technologies"",""Multimedia development engines""]","[""Digitized audio recordings of conversations on culture and food traditions""]","[""Sensors"",""Microcontroller"",""Motion-activated system"",""Microphones"",""Wireless technologies""]","[""Interactive exhibition""]"
16,History Blocks,2019,"[""Preservation"",""Edutainment""]","[""Edutainment"",""Global outreach""]","[""Students"",""Teachers"",""Schools""]","[""Virtualization"",""Participation"",""Facilitation""]","[""Public-Private Partnership""]","[""Free Access Model""]","[""Creative Director"",""Sound Designer"",""Producer"",""Music Composer"",""Video editor"",""Copywriter"",""Educational consultant""]","[""Creative Agency"",""School"",""International educational, scientific and cultural organization"",""Edutainment game platform"",""production company"",""Music / sound production company"",""Post-production company""]","[""Art direction"",""Copywriting and script editing"",""Music and sound production"",""Post-Production""]","[""Knowledge and practices concerning nature and the universe""]","[""Monuments"",""Destroyed and endangered heritage""]","[""Archaeological documentation of destroyed monuments"",""Middle Eastern architectural heritage data"",""technical documentation""]","[""Pictures"",""Templates and Measures""]","[""2D image acquisition technologies"",""Annotation system""]","[""Minecraft 3D modeling tools""]","[""Pre-built 3D Minecraft monument templates and re-building instructions""]","[""Web platform""]","[""Digital tools"",""Digital campaign"",""Digital assets"",""Participatory initiative""]"
17,Odeuropa Smell Explorer,2020-2023,"[""Accessibility"",""Stakeholders connection"",""Recognition"",""Documentation"",""Preservation""]","[""Cultural engagement"",""Educational outreach""]","[""ICH Specialists"",""General public"",""Artists"",""Researchers and Scholars"",""Perfumers""]","[""Virtualization"",""Institutionalization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Policy maker"",""Funding & Partnerships referent"",""Semantic web specialist"",""Cultural History expert""]","[""Slovenian Scientific Research Institute"",""Foundation and Research Centre"",""European Engineering School and Research Laboratory"",""Educational Institution / Research University"",""Research Center & Cluster"",""Educational Institution / Research University""]","[""Aroma and smell research"",""Computer vision"",""Data collection"",""Historical research"",""Language technology and digital humanities"",""Natural language processing and olfactory taxonomies"",""Scientific documentation and preservation of Olfactory Heritage"",""Scientific documentation and preservation of Olfactory Heritage""]","[""Social practices, rituals and festive events"",""Traditional craftsmanship""]","[""Fragrance"",""Smell"",""Scent""]","[""technical documentation"",""Scientific articles"",""Historical texts"",""Historical images""]","[""Text"",""Pictures""]","[""OCR Systems"",""2D image acquisition technologies"",""Annotation system""]","[""Machine learning"",""Computer vision"",""Semantic web standards"",""Database technologies"",""AI techniques for text-analysis""]","[""European Olfactory Knowledge Graph"",""Annotated smell-related data""]","[""Machine Learning"",""Web platform"",""Artificial Intelligence""]","[""Digital archive"",""Digital tools""]"
18,Polifonia Portal,2021-2024,"[""Preservation"",""Open resource creation"",""Enhancement"",""Accessibility"",""Documentation""]","[""Interdisciplinary collaboration"",""Educational outreach""]","[""Memory institutions"",""Educators"",""Enthusiasts"",""Musicians"",""ICH Curious"",""Researchers and Scholars""]","[""Institutionalization"",""Virtualization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Digital Archivist"",""Music Historian"",""Assistant Professor"",""Researcher"",""Researcher"",""Research Engineer in Musicology"",""Expert in Semantic Web Technologies"",""Etnoanthropologist"",""Visual Anthropologist and Web Developer"",""Expert in Information Retrieval, Data Mining, and Graphs"",""Data Engineer / Archive Metadata"",""Expert in Knowledge Engineering / Semantic Web Technologies"",""User Interface Engineer"",""Expert in Communication / Management / New media"",""Social Media Manager""]","[""Cultural archive and museum"",""Research center"",""French National center for scientific research"",""Scientific, cultural and profesisonal academic institution"",""National Governmental Agency"",""Educational Institution / Research University"",""Socienty of scholars, national scientific institutes"",""Web agency""]","[""Community and stakeholder engagement"",""Digital musicology"",""Knowledge graph technologies / infrastructures"",""Knowledge graphs / Web Data Querying"",""Knowledge graphs and linked data"",""Music analysis""]","[""Social practices, rituals and festive events""]","[""Historical manuscripts"",""Documents"",""Recordings"",""Historical sources""]","[""Music recordings"",""Archival documents"",""Historical manuscripts""]","[""Text"",""Metadata"",""Audio-visual""]","[""Annotation system"",""Audio recording""]","[""Database technologies"",""Semantic web standards"",""Audio processing technologies""]","[""Curated metadata collections"",""Database of musical heritage""]","[""Data mining technologies"",""Machine Learning"",""Natural Language Processing"",""Web platform""]","[""Digital tools"",""Digital archive""]"
19,TRACTION Opera co-creation for a social transformation,2022,"[""Democratization"",""Open resource creation"",""Accessibility"",""Stakeholders connection"",""Remix and reinterpretation"",""Social inclusion""]","[""Cultural accessibility"",""Community empowerment""]","[""Artists"",""Non-professional artists"",""Marginalized communities"",""General public"",""Local residents"",""Younger generations"",""Elderlies"",""Audiences in non-traditional cultural settings (e.g., prisons, rural areas, schools)""]","[""Remix"",""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Community Engagement Manager"",""Opera heritage expert"",""Opera heritage expert"",""Theatre General Director"",""Social and Artistic Coordinator"",""VR/AR Developer"",""Interactive Systems Developers"",""Singers"",""Non-professional Dancers""]","[""AI / Visual computing and interaction technological center"",""Art school"",""Opera company"",""Communuty and participatory art"",""AR/VR technology company"",""Technology-driven research institute"",""Educational Institution / Research University""]","[""Costume knowledge"",""Graphic design"",""Participatory digital workflow production"",""Photography"",""Storytelling""]","[""Performing arts""]","[""Apprenticeship"",""Dance"",""Vocal music"",""Poetry"",""Instrumental music""]","[""Community interactions"",""ICH live performances"",""Cultural practitioners' contributions""]","[""Video"",""Audio""]","[""Video recording"",""Audio recording""]","[""Multimedia processing and production technologies""]","[""Structured community-generated content"",""Audio-video recordings of opera performances""]","[""Cloud technologies"",""Participatory digital workflow production system""]","[""Dedicated virtual events"",""Digital tools"",""Immersive live performance"",""Dedicated physical events"",""Participatory initiative""]"
20,Paderpedia,2020,"[""Preservation"",""Documentation"",""Lost/Endangered/Undocumented Recovery"",""Promotion""]","[""Edutainment"",""Citizen science""]","[""Younger generations"",""Students"",""Schools"",""Environmental educators"",""Local residents"",""Amateur historians"",""Enthusiasts"",""Civic associations""]","[""Participation"",""Virtualization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Metadata Specialist"",""Historian"",""Database Manager / Information Scientist"",""Digital Archivist""]","[""Archive"",""Local government / public administration"",""Educational Institution / Research University"",""Library""]","[""Data archiving and retrieval systems"",""Database & information management"",""Metadata structuring and organization""]","[""Social practices, rituals and festive events"",""Individual and collective memory""]","[""Community action"",""Rivers""]","[""Multimedia resources & photographies"",""Literature database"",""Historical maps"",""Local citizen contributions""]","[""Metadata"",""Pictures"",""Text""]","[""Annotation system"",""2D image acquisition technologies"",""GPS technologies""]","[""Database technologies"",""Archival systems""]","[""Database of structured historical and ecological data""]","[""Web platform"",""Wiki-based platform""]","[""Digital archive""]"
22,Tempio del Brunello,2021,"[""Preservation"",""Celebration"",""Visibility and reputation"",""Edutainment""]","[""Edutainment"",""Cultural tourism promotion""]","[""Regional stakeholders"",""Tourists"",""Enthusiasts"",""ICH Curious"",""Enthusiasts"",""General public"",""Cultural practitioners"",""Cultural institutions""]","[""Storytelling"",""Animation"",""Bespoke exhibiting""]","[""Public-Private Partnership""]","[""Ticketed Revenue Model""]","[""Cultural Event Coordinator"",""Video Producer"",""Content Producer"",""Heritage Site Manager"",""Multimedia Technician"",""Oenologist / Wine Expert"",""Exhibition Designer"",""Interaction Designer"",""Installation Artist"",""App Developer"",""VR/AR Developer"",""Cultural Policy Advisor""]","[""Historical site / Cultural heritage site"",""Cultural Heritage Laboratory and Events Organizer"",""Multimedia Interactive Experiences Design Group"",""Wine producers' consortium / Trade association"",""Religious organization"",""Local government / public administration""]","[""AI/AR/VR development and integration for immersive experience"",""Content strategy"",""Cultural event organization"",""Cultural policy"",""Exhibition design"",""Historical site management"",""Interaction design"",""Interactive Installations"",""Mobile app design and development"",""Video Production"",""Winemaking expertise""]","[""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""]","[""Winemaking"",""Alcoholic beverages"",""Food production""]","[""Archival resources"",""Interviews"",""Historical documents""]","[""Pictures"",""Text"",""Audio""]","[""2D image acquisition technologies"",""Audio recording"",""Video recording""]","[""Multimedia processing and production technologies""]","[""Digitized collection of historical and contemporary images, videos""]","[""Mobile App"",""NFC (Near Field Communication)"",""Virtual Reality (VR)"",""Interactive Displays"",""Projection Mapping technologies"",""Sensors"",""Augmented Reality (AR)""]","[""Museum"",""Interactive exhibition""]"
24,ReCollection,2023,"[""Preservation"",""Reimagination of collective memory"",""Lost/Endangered/Undocumented Recovery""]","[""Cultural reproduction"",""Cultural representation""]","[""Care communities"",""Art audiences"",""Cultural practitioners"",""General public"",""Artists"",""Memory institutions""]","[""Materialization"",""Participation""]","[""Academic Institutional Support""]","[""B2B""]","[""AI Research Scientist"",""AI Technical Director"",""New Media Artist""]","[""AI Research Scientist"",""AI Expert"",""Research Center / Academic & Creative Innovation Hub"",""New Media Artist / Researcher / Designer"",""Institutional Funding / Academic Research Investment""]","[""AI system design"",""Exhibition design"",""Multimedia programming""]","[""Individual and collective memory"",""Oral traditions and expressions""]","[""Cultural identity"",""Oral history"",""Storytelling"",""Collective memory"",""Community participation""]","[""Documentaries"",""Visual memories"",""Oral narratives""]","[""Video"",""Audio""]","[""Video recording"",""Audio recording""]","[""Machine Learning"",""Text-to-Image model"",""NLP - Natural Language Processing""]","[""System turning speech into textual prompts and images""]","[""Projection mapping technologies"",""Generative AI"",""Voice-activated system""]","[""Dedicated physical events"",""AI-generated content"",""Interactive installation""]"
25,Synthetic Memories,2022,"[""ICH stakeholders connection"",""Preservation"",""Lost/Endangered/Undocumented Recovery"",""Reimagination of collective memory""]","[""Intergenerational connection"",""Therapeutic applications"",""Inclusivity"",""Documentation""]","[""Local city communities"",""Researchers and Scholars"",""Audiences in non-traditional cultural settings (e.g., prisons, rural areas, schools)"",""Cultural institutions"",""Mental health professionals"",""People with dementia"",""Policy makers"",""Migrant and refugee communities"",""Migrant and refugee communities"",""Families""]","[""Animation"",""Materialization"",""Participation"",""Memory elicitation""]","[""Public-Private Partnership""]","[""Free Access Model""]","[""AI Catalyst"",""Technical Lead"",""Manager Assistant"",""Sound Designer"",""General Manager"",""Creative"",""Product Designer"",""Project Manager"",""Accountant"",""Journalist & Creative"",""Head of Digital"",""Operations Director & Partner"",""Digital Designer"",""Visual Designer"",""Project Manager"",""Director & Funding partner"",""Front-End Developer"",""Head of Design & Production"",""Producer"",""Cultural Exchange & Social Integration"",""Community Engagement Manager""]","[""Social Impact / Education & Creativity Organization"",""Tech & Cultural Platform / Funding Organization"",""Government Agency / Cultural Promotion & Funding"",""Social Impact / Gender & Inclusion Organization"",""Non-Profit / Cultural Exchange & Social Integration Organization"",""Investment / Funding Organization"",""Creative studio"",""Social Impact / Community Development Organization""]","[""AI tool implementation"",""Client relationship management"",""Community and stakeholder engagement"",""Creative ideation and concept development"",""Cross-functional team leadership"",""Design process and production workflow management"",""Facilitating intercultural collaboration"",""Immersive sound design"",""(Digital) Content design"",""Narrative development and storytelling"",""Strategic leadership"",""Organizational leadership and partnership management"",""Physical space and product design integration"",""Production planning and execution"",""Project management"",""Stakeholder alignment"",""Technical architecture and platform integration"",""UX / UI Design""]","[""Individual and collective memory"",""Oral traditions and expressions""]","[""Cultural identity"",""Storytelling"",""Oral history"",""Collective memory"",""Community participation""]","[""Undocumented memories"",""Community storytelling sessions"",""Personal narratives""]","[""Oral knowledge""]","[""Text editing software""]","[""Generative AI""]","[""Digitally reconstructed visual memories"",""Memory textual prompt""]","[""Generative AI""]","[""Dedicated physical events"",""Participatory initiative"",""Museum"",""AI-generated content""]"
26,Lisbon Under Stars,2018,"[""Celebration"",""Preservation"",""Edutainment""]","[""Community engagement"",""Cultural tourism promotion""]","[""Policy makers"",""Tourists"",""Cultural institutions"",""General public"",""Local communities""]","[""Storytelling"",""Animation""]","[""Public-Private Partnership""]","[""Ticketed Revenue Model""]","[""Dancers"",""Artistic Director"",""Musicians"",""Project Manager"",""Technical Director"",""Narrator"",""Video Mapping and Interactive Projections"",""Sound Designer"",""Historian"",""Choreographer"",""Urban Artists"",""Documentation provider""]","[""Museum / Archive"",""Video Mapping and Interactive Projections Firm"",""Former Convent"",""Dance Schools and Choreographers""]","[""Archival material sourcing and content licensing"",""Creative ideation and concept development"",""Dance choreography and movement direction"",""Production coordination and scheduling"",""Audio / Sound post-production (mixing & mastering)"",""Musical composition and live/recorded performance"",""Narrative voice performance"",""Historical research"",""Projection mapping design for immersive experience"",""Visual art contributions (e.g., murals, graffiti integration)""]","[""Institutional and community values"",""Oral traditions and expressions""]","[""Cultural identity"",""Collective memory"",""Oral history"",""Storytelling"",""Public history""]","[""Historical documentation"",""Archival materials from local museums"",""Portuguese music"",""ICH live performances""]","[""Pictures"",""Video"",""Audio""]","[""Audio recording"",""2D image acquisition technologies"",""Video recording""]","[""Multimedia processing tools""]","[""Curated audiovisual content""]","[""Projection mapping technologies""]","[""Immersive live performance"",""Dedicated physical events"",""Dedicated virtual events ""]"
27,Craftal,2019,"[""Visibility and reputation"",""Promotion"",""Economic sustainability"",""Preservation""]","[""Promoting sustainable consumption"",""Facilitating Artisan-Chef Collaboration"",""Enhancing cultural appreciation""]","[""General public"",""Cultural practitioners"",""Service providers"",""Restaurants"",""Tradition bearers""]","[""Matchmaking"",""Participation""]","[""Self-Funded""]","[""Subscription-Based Revenue Model""]","[""Strategic planner"",""Project Manager"",""Platform curator"",""Project Manager"",""Ceramicist"",""Platform designer""]","[""Business Design Company""]","[""Business strategy"",""Creative and operational leadership"",""Product design"",""Project management"",""Traditional ceramics crafting and production"",""UX / UI Design""]","[""Traditional craftsmanship""]","[""Ceramic arts"",""Apprenticeship"",""Craft workers"",""Clay"",""Fire"",""Technical skills"",""Ceramics""]","[""Expert Know-how"",""Traditional Japanese craft tableware""]","[""Object/artefact""]","[""Text"",""Pictures""]","[""Database technologies""]","[""Digital inventory of Japanese craft tableware""]","[""Web platform""]","[""Network platform""]"
32,ComuniterrÃ e,2017,"[""Documentation"",""Community mapping"",""Celebration"",""Community empowerment"",""Cultural identity preservation""]","[""Local community engagement"",""Reinforcing community identity"",""Cultural revitalization""]","[""Local communities"",""Policy makers""]","[""Participation"",""Storytelling""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Project Manager"",""Map Illustrator / Designer"",""Community Facilitator"",""Cultural Heritage Specialist"",""Communication Officer""]","[""Non-profit Association / Cultural, Research and Educational Organization"",""Community Foundation"",""National park"",""Governmental Agency / Regional Government"",""Community / Local Population""]","[""Participatory project coordination"",""Visual storytelling"",""Community and stakeholder engagement"",""Cultural heritage documentation"",""Public communication and outreach""]","[""Social practices, rituals and festive events"",""Oral traditions and expressions"",""Individual and collective memory""]","[""Community action"",""Memories"",""Festivals"",""Cultural identity"",""Food production"",""Myths""]","[""Oral knowledge"",""Photographs"",""Local histories"",""Community traditions"",""Festivals""]","[""Pictures"",""Oral knowledge"",""Text""]","[""2D image acquisition technologies""]","[""Database technologies"",""Annotation system"",""Vector graphic software""]","[""Digital archive of pictures, stories, knowledge related to the community costums""]","[""Web platform""]","[""Participatory initiative"",""Digital archive""]"
33,Tacit Dialogues,2019-2022,"[""Research"",""Remix and reinterpretation"",""Remix and reinterpretation"",""Preservation""]","[""Public engagement"",""Artistic collaboration""]","[""Learners"",""Artisans"",""General public"",""Researchers and Scholars""]","[""Materialization"",""Translation""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Researcher"",""Art Historian"",""Glass Producer"",""Glass Producer"",""Product Designer"",""Glass Producer"",""Visual Artist"",""Visual and Sound Artist""]","[""Public-access Glassmaking Studio"",""Visual and sound artist"",""Berlin-based contemporary artist"",""Berlin-based designer"",""Artistic associate at WeiÃensee School of Art and Design"",""Berlin-based Design Lab"",""Berlin-based product designer, art historian and researcher"",""Glass sculptor""]","[""Art historical interpretation"",""Audio-visual media creation"",""Glass sculpture design"",""Glassblowing expertise"",""Product design"",""Research and data analysis"",""Visual storytelling""]","[""Traditional craftsmanship""]","[""Engraving"",""Craft workers"",""Fire"",""Glass art"",""Technical skills"",""Silver"",""Apprenticeship"",""Traditional tools"",""Creativity"",""Silver"",""Engraving""]","[""Artisan movements"",""Glassblowing live performances"",""Sound and visual interactions""]","[""Audio"",""Motion data"",""Visual data""]","[""Audio recording"",""Motion detection systems"",""Video recording""]","[""Motion data analysis tools"",""Visual processing software"",""Sound analysis software""]","[""Motion data of glassblowing techniques"",""Visual and sonic data archives""]","[""Motion Graphic Software"",""3D printing""]","[""ICH-inspired artefact""]"
36,La Baguette stamp,2024,"[""Celebration""]","[""Public engagement"",""Promotion of national identity""]","[""ICH Curious"",""Enthusiasts"",""National inhabitants"",""Collectors"",""Tourists""]","[""Materialization"",""Synesthesia""]","[""Publicly Funded""]","[""B2C""]","[""Technology expert"",""Distributor"",""Illustrator""]","[""Typography"",""Illustrator"",""National Postal Company"",""Microencapsulation Technologies company""]","[""Digital illustration and visual asset creation"",""Logistics and distribution management"",""Microencapsulation""]","[""Traditional craftsmanship"",""Social practices, rituals and festive events""]","[""Bread"",""Social inclusion"",""Contests"",""Apprenticeship"",""Creativity"",""Everyday life"",""Fermentation"",""Flour"",""Food customs"",""Food preparation"",""Handicrafts"",""Oven"",""Stick"",""Technical skills""]","[""Historical references"",""Bread smell"",""Cultural symbols (baguette)""]","[""Visual design"",""Scent data"",""Object/artefact""]","[""Microencapsulation scent technologies""]","[""Vector graphic software""]","[""Digital illustration and cooked break microencapsulated scent""]","[""Scratch and sniff printing Technologies""]","[""ICH-inspired artefact""]"
38,Weaving Time,2019-2020,"[""Preservation"",""Celebration"",""Remix and reinterpretation""]","[""Edutainment"",""Interactive engagement""]","[""Museum audience""]","[""Gamification"",""Simulation""]","[""Publicly Funded""]","[""B2C""]","[""Software developer and Technical design"",""Electrical engineer"",""Lighting engineer"",""Project Manager""]","[""Archeology and History Museum"",""Museum Exhibit Manufacturer"",""Experiential Design Firm"",""Marketing Agency"",""Lighting Design Consultancy Company""]","[""Concept design"",""Exhibition design"",""Graphic design"",""Interaction design""]","[""Traditional craftsmanship""]","[""Technical skills"",""Handicrafts"",""Apprenticeship"",""Craft workers"",""Textile art"",""Technical tools"",""Weaving""]","[""Photographs of Inca textiles and costumes"",""Traditional Inca weaving patterns""]","[""Pictures"",""Metadata"",""Visual patterns""]","[""Annotation system"",""2D image acquisition technologies""]","[""Vector graphic software"",""Image editing software""]","[""Syncronized electronic system turning movements into visuals and sound"",""ICH-inspired digitized pattern tiles""]","[""Motion-activated system"",""Screen-based display""]","[""ICH-inspired artefact"",""Interactive exhibition""]"
39,Design philology,2023,"[""Visibility and reputation"",""Celebration""]","[""Interactive engagement"",""Educational outreach"",""Collaborative partnerships""]","[""Learners"",""Academic / Educational institutions"",""Local communities""]","[""Virtualization"",""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Project Coordinator"",""Scientific curators"",""Web platform designers"",""Communication Officer"",""Web platform developers"",""Video-testimonial designers"",""Video Producer"",""Voiceover Artist"",""Technical support teams"",""Alumni contributors""]","[""Educational Institution / Research University""]","[""Archive research and development"",""Documentation research"",""Exhibition design"",""Visual identity and branding""]","[""Institutional and community values"",""Individual and collective memory""]","[""Cultural identity"",""Collective memory"",""Storytelling"",""Oral history"",""Everyday life"",""Student participation"",""Teachers""]","[""Interviews"",""Archival resources"",""Letters"",""Historical documents"",""Institutional reports"",""Photographs"",""Historical videos"",""Drawings and sketches""]","[""Pictures"",""Text"",""Video"",""Audio""]","[""Video recording"",""2D image acquisition technologies"",""Audio recording""]","[""Archival systems"",""Database technologies"",""Vector graphic software""]","[""Curated timelines and narratives"",""Database of structured historical and contemporary data related to the Design department""]","[""Web platform""]","[""Participatory initiative"",""Digital archive""]"
40,MEMEX. MEMories and EXperiences for inclusive digital storytelling,2019-2021,"[""Stakeholders connection"",""Community empowerment"",""Accessibility"",""Social inclusion""]","[""Skill development and capacity building"",""Cultural heritage accessibility"",""Community engagement""]","[""General public"",""Marginalized communities""]","[""Facilitation"",""Crowdsourcing""]","[""Publicly Funded""]","[""Free Access Model""]","[""AR Developer"",""Data Scientist"",""Software Engineer"",""Cultural Heritage Specialist"",""Interaction Designer"",""ICT Specialist"",""Heritage Data Curator"",""App Developer"",""Community Engagement Manager"",""Project Coordinator"",""Ethnographer"",""AI Specialist"",""UX/UI Designer"",""Policy maker""]","[""Non-governmental Organization / Cultural Foundation"",""Creative Agency"",""Cultural Mediation and Education Company"",""Research Institute / Technology Research Center"",""Research and Production Agency"",""Research Institution / Public Scientific and Technological Organization"",""Non-profit Research Association"",""Educational Institution / Research University"",""Research Institute / Scientific Research Organization"",""European Cultural Network"",""Business Consulting Firm"",""Non-profit Organization / Cultural Management Center""]","[""AI/AR/VR development and integration for immersive experience"",""Data analysis"",""End-to-end software development"",""Heritage analysis"",""Interaction design"",""IT infrastructure"",""Metadata structuring and organization"",""Mobile app design and development"",""Policy analysis"",""Project management"",""Qualitative research"",""Machine learning"",""UX / UI Design""]","[""Individual and collective memory""]","[""Urban spaces"",""Collective memory"",""Monument history"",""Storytelling""]","[""Images and videos"",""User-generated stories"",""Tangible and intangible cultural heritage (CH)""]","[""Video"",""Pictures"",""Location"",""Text"",""User narratives""]","[""Text editing software"",""2D acquisition technologies"",""GPS technologies""]","[""Knowledge Graph system""]","[""Enabling infrastructure for mobile app combining geolocated information and multumedia contents""]","[""Natural Language Processing"",""Augmented Reality (AR)"",""Mobile app"",""Digital camera""]","[""Digital tools"",""Participatory initiative""]"
41,RÃ©veil des Archives sonores,2014,"[""Remix and reinterpretation"",""Celebration"",""Remix and reinterpretation"",""Remix and reinterpretation""]","[""Artistic innovation"",""Collaborative partnerships"",""Educational outreach"",""Public engagement""]","[""Musicians"",""Enthusiasts"",""ICH Curious"",""Cultural institutions"",""General public""]","[""Remix""]","[""Publicly Funded""]","[""B2B"",""B2C""]","[""Sound archivist"",""Music Composer"",""Anthropologist"",""Ethnomusicologist"",""Sound engineer"",""Sound Designer""]","[""Ethnographic Museum / Ethnomusicology Department"",""Musicians and sound artists""]","[""Audio / Sound design"",""Audio / Sound post-production (mixing & mastering)"",""Cultural ethnographic research"",""Sound editing and manipulation""]","[""Performing arts""]","[""Music"",""Instrumental music"",""Vocal music"",""Musical performances"",""Musicology"",""Orchestras""]","[""Collection of phonograms"",""Historical metadata"",""Archival resources"",""Musical funds""]","[""Audio""]","[""Audio recording"",""Annotation system"",""Audio digitization tools""]","[""Audio processing technologies"",""Database technologies""]","[""Digitized recordings of musical traditions""]","[""Audio streaming platforms""]","[""Digital archive"",""Dedicated virtual events"",""Dedicated physical events"",""ICH-inspired artefact""]"
42,The Living Museum,2024,"[""Edutainment"",""Enhancement""]","[""Personalised curation"",""Interactive learning"",""Remote accessibility""]","[""Museums"",""Digital archivists"",""General public""]","[""Animation"",""Storytelling""]","[""Donor support""]","[""Free Access Model""]","[""AI Engineer""]",[],"[""Social agents and multi-agent simulations"",""Generative agent-based models""]","[""Social practices, rituals and festive events"",""Traditional craftsmanship"",""Individual and collective memory""]","[""Storytelling"",""Collective memory"",""History"",""Handicrafts"",""Costumes"",""Customs""]","[""The British Museum historical finds"",""Artifacts descriptions"",""Museum curators comments""]","[""Object/artefact"",""Metadata""]","[""2D image acquisition technologies"",""Annotation system""]","[""Photo-editing software"",""Database technologies""]","[""Digitized archive of historical finds and metadata""]","[""Generative AI model"",""Web platform""]","[""Virtual museum"",""Conversational agent""]"
43,Planet Word: The First Voice-Activated Museum,2020,"[""Celebration"",""Edutainment""]","[""Artistic collaboration"",""Multilingual representation"",""Interactive engagement"",""Educational outreach""]","[""Marginalized communities"",""Schools"",""Museums"",""Younger generations"",""Local communities""]","[""Participation""]","[""Hybrid Funding Model""]","[""Earned income"",""Philantropic support""]","[""Lead Architect"",""Contents Developers"",""Media Producer"",""Media Designer"",""Lead designer"",""Media & Software Developers"",""Audio-Visual (AV) Integrator"",""Architect"",""Acoustic and Sound Designers"",""Acoustic and Sound Engineers""]","[""Acoustic Design Consultancy Firm"",""Art & Technology Company (Installations / Interactive Experiences)"",""Experiential Production Group"",""Experience Design Studio"",""Museum"",""Architecture Studio"",""Sound Design Studio"",""Motion Design Studio"",""Animation and Design Creative Studio""]","[""Historical research"",""AV systems installation"",""Educational content development"",""Immersive sound design"",""Lead exhibit fabrication"",""Museum spatial planning""]","[""Oral traditions and expressions""]","[""Linguistics"",""Dialects"",""Spoken Languages"",""Languages"",""Oral history""]","[""Historical texts"",""Oral traditions"",""Linguistic resources"",""Books""]","[""Audio"",""Text""]","[""Text editing software"",""Transcription tools"",""Audio recording"",""2D image acquisition technologies"",""Video recording""]","[""Multimedia development engines"",""Audio processing technologies""]","[""Digitized archive of historical and contemporary records""]","[""Projection mapping technologies"",""Voice-activated system"",""Projection mapping technologies""]","[""Museum"",""Interactive exhibition""]"
44,Piccolo Museo del Diario,2013,"[""Preservation"",""Accessibility"",""Celebration"",""Edutainment""]","[""Interactive engagement"",""Educational outreach"",""Community engagement""]","[""Local communities"",""Archives"",""Schools"",""Cultural institutions""]","[""Animation""]","[""Hybrid Funding Model""]","[""Philantropic support"",""Earned income""]","[""Architect"",""Art Director"",""Interaction Designer"",""Curator"",""Project Manager"",""Creative Director"",""Chief Technology Officer"",""General Manager"",""Fundraising Manager"",""Designer"",""Interior & Exhibition Designer"",""Researcher"",""Photographer""]","[""Cultural Foundation / Literary Archive"",""Multidisciplinary Design Studio""]","[""Digital illustration and visual asset creation"",""Exhibition design"",""Graphic design"",""Archival storytelling"",""Spatial design"",""Strategic leadership"",""User-centered design"",""Workflow coordination"",""Grant acquisition""]","[""Oral traditions and expressions"",""Individual and collective memory"",""Institutional and community values""]","[""Collective memory"",""Cultural identity"",""Oral history""]","[""Personal diaries"",""Books"",""Letters"",""Oral testimonies"",""Photographs""]","[""Text"",""Pictures"",""Video"",""Audio""]","[""2D image acquisition technologies"",""Audio recording"",""Video recording""]","[""Database technologies"",""Archival systems"",""Multimedia processing and production technologies""]","[""Digitized diary entries and stories""]","[""Projection mapping technologies"",""Displays"",""Microphones"",""Motion-activated system""]","[""Interactive exhibition"",""Museum""]"
